2020,2021,2022,2023
"('AI', 37756)","('AI', 50705)","('AI', 71025)","('ChatGPT', 155292)"
"('V19', 28787)","('V19', 21160)","('Gray Media Group', 54282)","('AI', 84010)"
"('Google', 20518)","('Gray Media Group', 19507)","('Station20022022 Gray Television', 23401)","('Microsoft', 53121)"
"('Microsoft', 14155)","('Google', 19109)","('Google', 19290)","('Google', 50085)"
"('IBM', 13379)","('Microsoft', 14261)","('ML', 12760)","('OpenAI', 29117)"
"('Artificial Intelligence', 12495)","('Artificial Intelligence', 13384)","('V19', 9213)","('Gray Media Group', 28657)"
"('GR', 11260)","('IBM', 13200)","('Microsoft', 7737)","('Bard', 18375)"
"('Facebook', 9600)","('Facebook', 10079)","('ChatGPT', 7456)","('Station20022023 Gray Television', 12870)"
"('Artificial Intelligence AI', 7383)","('GR', 9837)","('Facebook', 7436)","('Microsofts', 10510)"
"('Amazon', 6893)","('Station20022021 Gray Television', 7721)","('IBM', 7204)","('Googles', 10029)"
"('Machine Learning', 6402)","('Machine Learning', 7536)","('CaptioningAudio DescriptionA Gray Media Group', 6811)","('Facebook', 9210)"
"('Intel', 6191)","('ML', 7343)","('Artificial Intelligence', 6591)","('GPT', 9033)"
"('Apple', 5274)","('Artificial Intelligence AI', 7210)","('Amazon', 6109)","('Apple', 8173)"
"('ML', 4460)","('Amazon', 6835)","('Meta', 5833)","('Amazon', 7776)"
"('AsiaPacific', 4086)","('Intel', 6033)","('DLE', 4885)","('AIgenerated', 7114)"
"('Healthcare', 3892)","('Apple', 4753)","('GR', 4471)","('Instagram', 7030)"
"('Samsung', 3010)","('EU', 4701)","('Twitter', 4422)","('Twitter', 6972)"
"('Twitter', 2701)","('BrandVoicePaid Program', 3981)","('Instagram', 4418)","('Meta', 6379)"
"('Oracle', 2699)","('Tesla', 3610)","('Tesla', 4168)","('Baidu', 5915)"
"('IBM Corporation', 2665)","('Healthcare', 3586)","('Machine Learning', 4153)","('AP', 5846)"
