2020,2021,2022,2023
"('Chinese', 4344)","('Chinese', 5339)","('Chinese', 6519)","('Chinese', 9313)"
"('American', 1869)","('European', 2883)","('European', 3094)","('Americans', 5781)"
"('European', 1783)","('American', 2178)","('Canadian', 2696)","('American', 5154)"
"('British', 1654)","('Canadian', 2097)","('American', 2344)","('Italian', 4704)"
"('Canadian', 1486)","('British', 1674)","('British', 1713)","('British', 3858)"
"('French', 1077)","('American African American', 1526)","('Americans', 1551)","('Canadian', 3022)"
"('Americans', 860)","('French', 1170)","('American African American', 1543)","('European', 2791)"
"('German', 847)","('Americans', 1150)","('French', 1500)","('French', 2773)"
"('Hindu', 742)","('German', 1082)","('Lunit', 1343)","('German', 2011)"
"('Tamil', 541)","('Korean', 1033)","('Ukrainian', 1106)","('Canadians', 1405)"
"('Asian', 513)","('Asian', 781)","('German', 1087)","('Swiss', 1310)"
"('ian', 446)","('CHANLSAdd', 668)","('Swiss', 903)","('Republican', 1200)"
"('RemoteMoneyAll', 444)","('Tamil', 645)","('African', 885)","('Ukrainian', 1038)"
"('African', 437)","('EUs', 641)","('Korean', 722)","('Christian', 1010)"
"('Canadians', 434)","('English', 636)","('Saudi', 720)","('English', 953)"
"('EUs', 433)","('African', 613)","('North American', 717)","('ian', 950)"
"('Irish', 423)","('Lunit', 612)","('Italian', 688)","('Democrats', 905)"
"('Democratic', 398)","('North American', 570)","('Spanish', 632)","('Republicans', 880)"
"('Popular', 393)","('Spanish', 531)","('Tamil', 631)","('Greek', 796)"
"('North American', 363)","('Dutch', 526)","('DLE2', 542)","('EUs', 778)"
