2020,2021,2022,2023
"('AI', 70971)","('AI', 109573)","('AI', 167203)","('AI', 202427)"
"('V19', 2601)","('V19', 2151)","('AIdriven', 3785)","('Bing', 8028)"
"('AIdriven', 1194)","('AIdriven', 1929)","('UsMeet', 2337)","('Android', 3517)"
"('Twitter YouTube', 1113)","('Twitter YouTube', 1467)","('HPC', 1486)","('AIdriven', 3465)"
"('JavaScript', 984)","('JavaScript', 1170)","('JavaScript', 1223)","('Windows', 1832)"
"('SE', 718)","('SE', 1124)","('SE', 1152)","('YouTube', 1813)"
"('Galaxy', 669)","('HPC', 983)","('Cresta', 1054)","('UsMeet', 1646)"
"('YouTube', 572)","('Desktop Alert Notifications .Learn', 795)","('YouTube', 939)","('Windows 11', 1499)"
"('TensorFlow', 532)","('CRM', 794)","('Android', 850)","('Excel', 1331)"
"('Global AI', 459)","('YouTube', 604)","('ADAS', 822)","('Open AI', 1179)"
"('HPC', 443)","('Facebook', 602)","('CRM', 772)","('JavaScript', 1117)"
"('Discovery', 433)","('Discovery', 598)","('Google Cloud', 766)","('CRM', 927)"
"('Javascript Course', 422)","('UsMeet', 518)","('NewscastsPress', 720)","('ChatGPTstyle', 805)"
"('MasteryData ScienceData', 422)","('UX', 505)","('Akismet', 692)","('Akismet', 762)"
"('Facebook', 390)","('Verbit', 445)","('Cloud', 688)","('Galaxy', 744)"
"('CRM', 369)","('TensorFlow', 444)","('Aetina', 674)","('Facebook', 707)"
"('A100', 366)","('Xilinx', 442)","('Twitter YouTube', 670)","('Chart PatternRounding BottomRising WedgeFalling', 705)"
"('FoodProduct', 352)","('Galaxy', 438)","('TensorFlow', 655)","('FormationHead', 705)"
"('Xilinx', 332)","('Android', 425)","('Google Cloud Certification:', 587)","('ToolsPivot Point  ', 705)"
"('Windows 10', 326)","('Excel', 419)","('Google Cloud Certification: Cloud Data EngineerLaunch', 587)","('SoundHound AI', 693)"
