,year_pub,month,month-year,count_total_articles,count_pos_articles,count_neg_articles,prop_pos_articles,prop_neg_articles
0,2020,1,Jan 2020,2886,876,128,30.35,4.44
1,2020,2,Feb 2020,2745,748,113,27.25,4.12
2,2020,3,Mar 2020,3083,936,96,30.36,3.11
3,2020,4,Apr 2020,2961,869,64,29.35,2.16
4,2020,5,May 2020,2910,764,84,26.25,2.89
5,2020,6,Jun 2020,1786,525,59,29.4,3.3
6,2020,7,Jul 2020,2073,567,91,27.35,4.39
7,2020,8,Aug 2020,2191,614,70,28.02,3.19
8,2020,9,Sep 2020,2634,797,68,30.26,2.58
9,2020,10,Oct 2020,3170,958,63,30.22,1.99
10,2020,11,Nov 2020,3374,1026,64,30.41,1.9
11,2020,12,Dec 2020,2854,749,158,26.24,5.54
12,2021,1,Jan 2021,2541,779,104,30.66,4.09
13,2021,2,Feb 2021,3494,1015,142,29.05,4.06
14,2021,3,Mar 2021,3599,1040,90,28.9,2.5
15,2021,4,Apr 2021,3654,1024,116,28.02,3.17
16,2021,5,May 2021,2751,791,89,28.75,3.24
17,2021,6,Jun 2021,3420,979,127,28.63,3.71
18,2021,7,Jul 2021,2625,807,100,30.74,3.81
19,2021,8,Aug 2021,2852,759,106,26.61,3.72
20,2021,9,Sep 2021,2622,642,138,24.49,5.26
21,2021,10,Oct 2021,5213,2220,194,42.59,3.72
22,2021,11,Nov 2021,6092,2989,118,49.06,1.94
23,2021,12,Dec 2021,4005,1636,114,40.85,2.85
24,2022,1,Jan 2022,3435,1272,112,37.03,3.26
25,2022,2,Feb 2022,3286,1336,148,40.66,4.5
26,2022,3,Mar 2022,3259,1159,123,35.56,3.77
27,2022,4,Apr 2022,2656,929,92,34.98,3.46
28,2022,5,May 2022,4565,1627,151,35.64,3.31
29,2022,6,Jun 2022,6350,2817,149,44.36,2.35
30,2022,7,Jul 2022,5707,2404,153,42.12,2.68
31,2022,8,Aug 2022,5202,2083,135,40.04,2.6
32,2022,9,Sep 2022,5759,2508,226,43.55,3.92
33,2022,10,Oct 2022,4756,1765,160,37.11,3.36
34,2022,11,Nov 2022,4919,2201,88,44.74,1.79
35,2022,12,Dec 2022,5047,1816,151,35.98,2.99
36,2023,1,Jan 2023,9908,2771,330,27.97,3.33
37,2023,2,Feb 2023,14310,3734,879,26.09,6.14
38,2023,3,Mar 2023,16023,4293,709,26.79,4.42
39,2023,4,Apr 2023,16098,4056,715,25.2,4.44
